sample,total_count,cell_type,population,percentage
426,96997,nk_cell,11181,11.527160633834036
426,96997,cd4_t_cell,27993,28.85965545326144
427,93526,b_cell,11273,12.053332763081924
427,93526,monocyte,19663,21.024100250197804
427,93526,cd4_t_cell,22813,24.39214763808994
427,93526,cd8_t_cell,25957,27.753779697624193
427,93526,nk_cell,13820,14.776639651006137
428,93130,cd4_t_cell,35237,37.83635777944808
428,93130,cd8_t_cell,25768,27.668849994631163
428,93130,b_cell,3953,4.244604316546763
428,93130,nk_cell,14868,15.964780414474392
428,93130,monocyte,13304,14.285407494899601
429,106699,monocyte,26929,25.23828714420941
429,106699,cd8_t_cell,25942,24.313255044564617
429,106699,b_cell,8119,7.609255944291886
429,106699,nk_cell,14776,13.848302233385503
429,106699,cd4_t_cell,30933,28.99089963354858
430,105592,cd8_t_cell,21815,20.659709068868853
430,105592,nk_cell,14267,13.511440260625804
430,105592,monocyte,24938,23.617319493901054
430,105592,b_cell,8810,8.343435108720358
430,105592,cd4_t_cell,35762,33.86809606788393
431,105105,cd4_t_cell,30731,29.238380666952096
431,105105,b_cell,7498,7.133818562389991
431,105105,nk_cell,17278,16.438799295942154
431,105105,monocyte,19513,18.565244279529995
431,105105,cd8_t_cell,30085,28.623757195185767
432,107031,cd4_t_cell,35729,33.38191738842018
432,107031,b_cell,11097,10.368024217282844
432,107031,nk_cell,10710,10.006446730386523
432,107031,monocyte,22449,20.974297166241556
432,107031,cd8_t_cell,27046,25.269314497668898
433,95490,monocyte,22158,23.204524033930255
433,95490,b_cell,10886,11.400146612210703
433,95490,nk_cell,12498,13.088281495444548
433,95490,cd4_t_cell,26168,27.403916640485914
433,95490,cd8_t_cell,23780,24.90313121792858
434,97386,b_cell,8818,9.054689585772083
434,97386,cd4_t_cell,28657,29.426200891298542
434,97386,cd8_t_cell,32068,32.92875772698334
434,97386,nk_cell,11643,11.955517220134311
434,97386,monocyte,16200,16.63483457581172
435,107516,nk_cell,13996,13.017597380854943
435,107516,cd8_t_cell,31278,29.09148405818669
435,107516,cd4_t_cell,31050,28.879422597566872
435,107516,monocyte,20614,19.172960303582723
435,107516,b_cell,10578,9.838535659808773
436,90324,cd8_t_cell,20107,22.26097161330322
436,90324,cd4_t_cell,24932,27.60285195518356
436,90324,monocyte,21660,23.980337451840043
436,90324,b_cell,6569,7.272707143173464
436,90324,nk_cell,17056,18.88313183649971
437,97610,monocyte,20264,20.760168015572177
437,97610,cd8_t_cell,29532,30.25509681385104
437,97610,b_cell,9752,9.990779633234299
437,97610,cd4_t_cell,26190,26.83126728818769
437,97610,nk_cell,11872,12.162688249154801
438,97015,cd4_t_cell,29693,30.606607225686748
438,97015,monocyte,22563,23.257228263670566
438,97015,cd8_t_cell,15098,15.562541874967788
438,97015,b_cell,9893,10.197392155852187
438,97015,nk_cell,19768,20.376230479822706
439,104091,cd8_t_cell,29595,28.431852897945063
439,104091,b_cell,12638,12.141299439913153
439,104091,nk_cell,11863,11.396758605451
439,104091,monocyte,12928,12.419901816679637
439,104091,cd4_t_cell,37067,35.61018724001114
440,108621,cd4_t_cell,31458,28.961250586903088
440,108621,cd8_t_cell,21483,19.777943491590026
440,108621,b_cell,10924,10.056987138766905
440,108621,monocyte,25454,23.433774316200367
440,108621,nk_cell,19302,17.77004446653962
441,95084,monocyte,19990,21.023516048967227
441,95084,nk_cell,14416,15.161331033612385
441,95084,cd8_t_cell,26000,27.344242985149975
441,95084,b_cell,10921,11.485633755416263
441,95084,cd4_t_cell,23757,24.98527617685415
442,108059,monocyte,19718,18.247438899119924
442,108059,cd4_t_cell,39369,36.43287463330218
442,108059,nk_cell,11155,10.323064251936442
442,108059,cd8_t_cell,28293,26.182918590769855
442,108059,b_cell,9524,8.813703624871598
443,97597,b_cell,12492,12.799573757390084
443,97597,nk_cell,24151,24.74563767328914
443,97597,cd4_t_cell,27569,28.24779450188018
443,97597,cd8_t_cell,18025,18.46880539360841
443,97597,monocyte,15360,15.738188673832187
444,101849,nk_cell,14826,14.556843955267112
444,101849,cd8_t_cell,25465,25.002700075602117
444,101849,monocyte,21926,21.52794823709609
444,101849,b_cell,15731,15.445414289781931
444,101849,cd4_t_cell,23901,23.467093442252747
445,93161,monocyte,19121,20.524683075535897
445,93161,cd8_t_cell,22408,24.05298354461631
445,93161,cd4_t_cell,28647,30.749991949420895
445,93161,nk_cell,12651,13.579716834297614
445,93161,b_cell,10334,11.092624596129282
446,98043,b_cell,8445,8.613567516293871
446,98043,monocyte,20649,21.0611670389523
446,98043,cd8_t_cell,19176,19.55876503166978
446,98043,nk_cell,8623,8.795120508348377
446,98043,cd4_t_cell,41150,41.97137990473568
447,98729,monocyte,26652,26.99510782039725
447,98729,cd4_t_cell,26801,27.146025990337186
447,98729,nk_cell,15746,15.948708079692897
447,98729,cd8_t_cell,21945,22.227511673368515
447,98729,b_cell,7585,7.682646436204155
448,105500,b_cell,5917,5.608530805687203
448,105500,cd4_t_cell,33741,31.981990521327013
448,105500,cd8_t_cell,24450,23.175355450236967
448,105500,monocyte,29611,28.06729857819905
448,105500,nk_cell,11781,11.166824644549763
449,99023,b_cell,8797,8.883794673964635
449,99023,monocyte,12786,12.912151722327136
449,99023,nk_cell,18127,18.30584813629157
449,99023,cd8_t_cell,28624,28.906415681205377
449,99023,cd4_t_cell,30689,30.99178978621128
450,107956,cd8_t_cell,26086,24.163548112193855
450,107956,monocyte,15962,14.785653414353996
450,107956,b_cell,7492,6.939864389195598
450,107956,cd4_t_cell,34148,31.631405387380045
450,107956,nk_cell,24268,22.479528696876507
451,95691,cd8_t_cell,28080,29.344452456343856
451,95691,monocyte,15691,16.397571349447702
451,95691,nk_cell,17441,18.226374476178535
451,95691,b_cell,8440,8.820056222633267
451,95691,cd4_t_cell,26039,27.211545495396646
452,100052,nk_cell,12977,12.970255467157079
452,100052,cd4_t_cell,36442,36.423060008795424
452,100052,cd8_t_cell,20103,20.092551873026025
452,100052,b_cell,8106,8.101787070723224
452,100052,monocyte,22424,22.412345580298247
453,93623,cd4_t_cell,35345,37.75247535327858
453,93623,monocyte,15160,16.192602245174797
453,93623,nk_cell,14339,15.315680975828588
453,93623,b_cell,12212,13.043803338923126
453,93623,cd8_t_cell,16567,17.695438086794912
454,97620,b_cell,12112,12.407293587379636
454,97620,cd4_t_cell,31798,32.573243187871334
454,97620,monocyte,16951,17.364269616881785
454,97620,cd8_t_cell,25003,25.61257938946937
454,97620,nk_cell,11756,12.042614218397869
455,105393,cd8_t_cell,16109,15.284696327080546
455,105393,monocyte,27007,25.625041511295816
455,105393,b_cell,17826,16.913836782328996
455,105393,nk_cell,14408,13.67073714573074
455,105393,cd4_t_cell,30043,28.505688233563898
456,108018,cd4_t_cell,28221,26.12620118869077
456,108018,monocyte,16232,15.027125108778167
456,108018,nk_cell,16626,15.3918791312559
456,108018,cd8_t_cell,35718,33.06671110370494
456,108018,b_cell,11221,10.388083467570219
457,108621,b_cell,15176,13.971515636939449
457,108621,cd8_t_cell,20518,18.88953333149207
457,108621,monocyte,22519,20.731718544296225
457,108621,cd4_t_cell,27063,24.915071671223796
457,108621,nk_cell,23345,21.49216081604846
458,96564,b_cell,10801,11.185327865457106
458,96564,nk_cell,18521,19.180025682448946
458,96564,cd4_t_cell,30801,31.896980241083632
458,96564,monocyte,14864,15.392900045565636
458,96564,cd8_t_cell,21577,22.34476616544468
459,96487,cd4_t_cell,30699,31.816721423611472
459,96487,monocyte,17334,17.965114471379565
459,96487,nk_cell,17456,18.091556375470272
459,96487,b_cell,7468,7.739902784831116
459,96487,cd8_t_cell,23530,24.386704944707578
460,101893,monocyte,19169,18.812872326852677
460,101893,b_cell,7938,7.790525355029295
460,101893,nk_cell,16376,16.071761553786814
460,101893,cd4_t_cell,33131,32.51548192711963
460,101893,cd8_t_cell,25279,24.809358837211583
461,101052,cd4_t_cell,32549,32.210149230099354
461,101052,b_cell,12744,12.611328820805129
461,101052,monocyte,16772,16.597395400387917
461,101052,nk_cell,14524,14.372798163321853
461,101052,cd8_t_cell,24463,24.20832838538574
462,96069,nk_cell,13154,13.69224203437113
462,96069,monocyte,21470,22.348520334343025
462,96069,cd8_t_cell,24779,25.792919672318853
462,96069,b_cell,9906,10.311338725291197
462,96069,cd4_t_cell,26760,27.8549792336758
463,93077,monocyte,18811,20.21014858665406
463,93077,b_cell,7996,8.590736701870494
463,93077,nk_cell,10694,11.489411992221495
463,93077,cd8_t_cell,29495,31.68881678610183
463,93077,cd4_t_cell,26081,28.020885933152123
464,99154,b_cell,8210,8.280049216370495
464,99154,cd4_t_cell,29524,29.775904149101397
464,99154,cd8_t_cell,28107,28.346814046836233
464,99154,monocyte,18709,18.86862859793856
464,99154,nk_cell,14604,14.728603989753314
465,93629,cd4_t_cell,25627,27.370793237138063
465,93629,monocyte,16653,17.786155998675625
465,93629,cd8_t_cell,26819,28.643903064221554
465,93629,b_cell,6595,7.04375781008021
465,93629,nk_cell,17935,19.155389889884546
466,99232,cd8_t_cell,23269,23.449089003547243
466,99232,b_cell,15853,15.975693324733955
466,99232,monocyte,21415,21.58074008384392
466,99232,cd4_t_cell,29404,29.631570461141564
466,99232,nk_cell,9291,9.362907126733312
467,93276,cd4_t_cell,23113,24.77915004931601
467,93276,monocyte,23304,24.98391869291136
467,93276,cd8_t_cell,22738,24.377117372100006
467,93276,nk_cell,9471,10.1537372957674
467,93276,b_cell,14650,15.706076589905226
468,88938,cd8_t_cell,18179,20.440081854775237
468,88938,b_cell,9939,11.17520070161236
468,88938,nk_cell,19057,21.427286424250603
468,88938,monocyte,21717,24.41813398097551
468,88938,cd4_t_cell,20046,22.53929703838629
469,103239,cd4_t_cell,30497,29.540193144063775
469,103239,nk_cell,14567,14.109977818460079
469,103239,monocyte,16478,15.961022481814044
469,103239,cd8_t_cell,30800,29.83368688189541
469,103239,b_cell,10897,10.555119673766697
470,98113,monocyte,17019,17.34632515568783
470,98113,cd4_t_cell,29134,29.694332045702403
470,98113,cd8_t_cell,28934,29.49048546064232
470,98113,nk_cell,10662,10.867061449553066
470,98113,b_cell,12364,12.60179588841438
471,106307,b_cell,6409,6.028765744494718
471,106307,monocyte,22019,20.712652976756
471,106307,cd8_t_cell,24626,23.16498443188125
471,106307,nk_cell,14790,13.91253633344935
471,106307,cd4_t_cell,38463,36.181060513418686
472,98089,cd8_t_cell,26833,27.355768740633508
472,98089,b_cell,8943,9.117230270468655
472,98089,nk_cell,14988,15.280000815585845
472,98089,monocyte,19745,20.12967814943572
472,98089,cd4_t_cell,27580,28.117322023876273
473,90146,b_cell,8540,9.473520733033078
473,90146,cd4_t_cell,29430,32.64703924744304
473,90146,monocyte,16972,18.82723581745169
473,90146,cd8_t_cell,15898,17.63583520067446
473,90146,nk_cell,19306,21.416369001397733
474,87975,cd4_t_cell,23556,26.775788576300087
474,87975,nk_cell,11865,13.486786018755328
474,87975,monocyte,16856,19.159988633134414
474,87975,b_cell,14389,16.35578289286729
474,87975,cd8_t_cell,21309,24.22165387894288
475,95258,cd8_t_cell,33781,35.462638308593505
475,95258,b_cell,6971,7.318020533708455
475,95258,monocyte,12816,13.453988116483655
475,95258,cd4_t_cell,27433,28.798631086103004
475,95258,nk_cell,14257,14.966721955111382
476,89907,cd8_t_cell,26409,29.373686142347093
476,89907,nk_cell,10051,11.179329751854695
476,89907,b_cell,12014,13.362697009131658
476,89907,monocyte,17566,19.537967010355146
476,89907,cd4_t_cell,23867,26.546320086311407
477,103246,cd4_t_cell,31567,30.57455010363598
477,103246,b_cell,9372,9.07734924355423
477,103246,nk_cell,16346,15.832090347325806
477,103246,cd8_t_cell,24924,24.140402533754333
477,103246,monocyte,21037,20.375607771729655
478,103728,cd8_t_cell,33181,31.988469844207927
478,103728,cd4_t_cell,27237,26.258098102730216
478,103728,nk_cell,13562,13.074579669905908
478,103728,monocyte,17931,17.28655714946784
478,103728,b_cell,11817,11.392295233688108
479,108725,cd8_t_cell,25412,23.37272936307197
479,108725,b_cell,8385,7.712117728213383
479,108725,cd4_t_cell,39865,36.66590020694412
479,108725,monocyte,20998,19.312945504713728
479,108725,nk_cell,14065,12.936307197056795
480,102557,cd8_t_cell,18050,17.59996879783925
480,102557,cd4_t_cell,27870,27.175131877882542
480,102557,b_cell,10721,10.453698918650115
480,102557,nk_cell,24619,24.005187359224625
480,102557,monocyte,21297,20.766013046403465
481,102711,nk_cell,18750,18.255104127113942
481,102711,cd4_t_cell,27280,26.55995949800898
481,102711,monocyte,18584,18.093485605241895
481,102711,cd8_t_cell,29791,29.004683042712077
481,102711,b_cell,8306,8.086767726923116
482,109915,cd8_t_cell,25245,22.96774780512214
482,109915,nk_cell,14599,13.282081608515671
482,109915,cd4_t_cell,31739,28.875949597416184
482,109915,monocyte,25823,23.493608697629988
482,109915,b_cell,12509,11.380612291316016
483,94926,cd4_t_cell,30255,31.872195183616714
483,94926,monocyte,21079,22.20571813833934
483,94926,b_cell,9905,10.43444367191286
483,94926,nk_cell,15817,16.662452858015715
483,94926,cd8_t_cell,17870,18.82519014811537
484,110072,nk_cell,9352,8.496256995421179
484,110072,b_cell,14062,12.775274365869613
484,110072,cd8_t_cell,28231,25.647757831237733
484,110072,monocyte,21045,19.11930372846864
484,110072,cd4_t_cell,37382,33.96140707900284
485,102542,nk_cell,15736,15.34590704296776
485,102542,monocyte,19950,19.45544264789062
485,102542,b_cell,10786,10.518616761912192
485,102542,cd8_t_cell,25790,25.150669969378402
485,102542,cd4_t_cell,30280,29.529363577851026
486,89033,cd4_t_cell,31990,35.93049768063527
486,89033,cd8_t_cell,21471,24.115777296058766
486,89033,monocyte,15694,17.627171947480146
486,89033,b_cell,5764,6.474004020980985
486,89033,nk_cell,14114,15.852549054844832
487,98719,cd4_t_cell,20430,20.69510428590241
487,98719,monocyte,24221,24.535297156575737
487,98719,cd8_t_cell,19225,19.474467934237584
487,98719,nk_cell,23533,23.83836951346752
487,98719,b_cell,11310,11.456761109816753
488,102087,cd4_t_cell,35761,35.029925455738734
488,102087,cd8_t_cell,25796,25.268643411991732
488,102087,nk_cell,10653,10.435217020776397
488,102087,b_cell,9542,9.34692957967224
488,102087,monocyte,20335,19.919284531820896
489,102578,monocyte,15605,15.212813663748562
489,102578,cd4_t_cell,37886,36.93384546393963
489,102578,cd8_t_cell,20758,20.236307980268673
489,102578,nk_cell,17573,17.13135370157344
489,102578,b_cell,10756,10.485679190469693
490,91602,monocyte,10708,11.689701098229296
490,91602,b_cell,6847,7.474727626034366
490,91602,nk_cell,19878,21.700399554594878
490,91602,cd8_t_cell,22799,24.889194559070763
490,91602,cd4_t_cell,31370,34.245977162070695
491,110984,monocyte,25032,22.55460246522021
491,110984,b_cell,11320,10.19966842067325
491,110984,nk_cell,15406,13.881280184531104
491,110984,cd8_t_cell,39052,35.18705398976429
491,110984,cd4_t_cell,20174,18.177394939811144
492,90452,b_cell,9674,10.695175341617654
492,90452,monocyte,15831,17.502100561623845
492,90452,cd4_t_cell,26382,29.16685092645823
492,90452,cd8_t_cell,24210,26.76557732277893
492,90452,nk_cell,14355,15.870295847521337
493,101317,cd4_t_cell,16810,16.591490075702993
493,101317,nk_cell,19198,18.9484489276232
493,101317,monocyte,28058,27.69327950886821
493,101317,cd8_t_cell,27761,27.400140154169588
493,101317,b_cell,9490,9.366641333636014
494,105084,nk_cell,13187,12.549008412317765
494,105084,monocyte,23440,22.305964752007917
494,105084,cd4_t_cell,30162,28.702752084047052
494,105084,b_cell,8531,8.118267290929161
494,105084,cd8_t_cell,29764,28.32400746069811
495,105226,nk_cell,16741,15.909566076825119
495,105226,cd8_t_cell,28966,27.52741717826393
495,105226,monocyte,19820,18.835648984091385
495,105226,cd4_t_cell,29591,28.121376846026646
495,105226,b_cell,10108,9.605990914792923
496,103327,monocyte,19745,19.10923572735103
496,103327,b_cell,16709,16.170991125262514
496,103327,cd8_t_cell,25964,25.127991715621278
496,103327,cd4_t_cell,26077,25.237353257135116
496,103327,nk_cell,14832,14.354428174630057
497,90736,nk_cell,15287,16.847778169634985
497,90736,monocyte,18660,20.56515605713278
497,90736,b_cell,6995,7.709178275436431
497,90736,cd8_t_cell,21565,23.76675189560924
497,90736,cd4_t_cell,28229,31.11113560218656
498,109114,cd4_t_cell,29642,27.16608317906043
498,109114,nk_cell,19919,18.255219311912313
498,109114,cd8_t_cell,18699,17.13712264237403
498,109114,b_cell,10176,9.326025991165203
498,109114,monocyte,30678,28.115548875488024
499,92534,cd4_t_cell,25198,27.23107182224912
499,92534,cd8_t_cell,21993,23.76748006138284
499,92534,b_cell,10355,11.190481336589794
499,92534,nk_cell,13243,14.31149631486805
499,92534,monocyte,21745,23.499470464910196
500,92267,monocyte,9171,9.939631720983668
500,92267,b_cell,9346,10.12929866582852
500,92267,cd4_t_cell,32952,35.71374380872901
500,92267,nk_cell,13136,14.236942785611323
500,92267,cd8_t_cell,27662,29.980383018847473
501,108235,b_cell,7923,7.320182935279715
501,108235,cd4_t_cell,52546,48.54806670670301
501,108235,monocyte,18536,17.1256987111378
501,108235,nk_cell,13887,12.830415300041576
501,108235,cd8_t_cell,15343,14.1756363468379
502,96878,b_cell,7745,7.994591135242264
502,96878,nk_cell,18247,18.835029624889035
502,96878,monocyte,21063,21.74177831912302
502,96878,cd4_t_cell,25962,26.79865397716716
502,96878,cd8_t_cell,23861,24.62994694357852
503,102115,monocyte,21309,20.867649219017775
503,102115,b_cell,9088,8.89976986730647
503,102115,cd4_t_cell,27829,27.25260735445331
503,102115,cd8_t_cell,27199,26.635655878176568
503,102115,nk_cell,16690,16.34431768104588
504,101281,b_cell,6122,6.044569070210602
504,101281,monocyte,28393,28.03388592134754
504,101281,cd8_t_cell,18553,18.318342038486982
504,101281,nk_cell,19754,19.50415181524669
504,101281,cd4_t_cell,28459,28.09905115470819
505,102199,cd4_t_cell,33281,32.56489789528273
505,102199,b_cell,12376,12.109707531384847
505,102199,monocyte,15349,15.018737952426148
505,102199,nk_cell,13039,12.75844186342332
505,102199,cd8_t_cell,28154,27.548214757482945
506,99337,b_cell,17296,17.411437832831673
506,99337,cd4_t_cell,30886,31.092140894128068
506,99337,cd8_t_cell,15004,15.1041404511914
506,99337,monocyte,28649,28.840210596253158
506,99337,nk_cell,7502,7.5520702255957
507,96702,cd4_t_cell,26287,27.183512233459496
507,96702,nk_cell,14118,14.599491220450457
507,96702,b_cell,11732,12.13211722611735
507,96702,cd8_t_cell,23019,23.804057827139047
507,96702,monocyte,21546,22.280821492833656
508,93751,monocyte,21992,23.45788311591343
508,93751,cd4_t_cell,27501,29.3340871030709
508,93751,b_cell,11632,12.407334321767234
508,93751,cd8_t_cell,14517,15.484634830561808
508,93751,nk_cell,18109,19.31606062868663
509,104727,monocyte,21481,20.5114249429469
509,104727,cd8_t_cell,26714,25.508226149894487
509,104727,b_cell,7565,7.2235431168657565
509,104727,nk_cell,14451,13.798733850869404
509,104727,cd4_t_cell,34516,32.958071939423455
510,101519,monocyte,23867,23.509884849141542
510,101519,cd8_t_cell,21878,21.55064569193944
510,101519,b_cell,5778,5.691545424994336
510,101519,nk_cell,10595,10.436470020390272
510,101519,cd4_t_cell,39401,38.811454013534416
511,94245,nk_cell,10340,10.971404318531487
511,94245,cd8_t_cell,19982,21.202185792349727
511,94245,cd4_t_cell,30515,32.37837551063717
511,94245,monocyte,21583,22.90094965250146
511,94245,b_cell,11825,12.54708472598016
512,105031,b_cell,8104,7.715817234911597
512,105031,cd8_t_cell,32150,30.61001037788843
512,105031,nk_cell,9008,8.576515504946158
512,105031,cd4_t_cell,38844,36.98336681551161
512,105031,monocyte,16925,16.1142900667422
513,87506,monocyte,13238,15.128105501337053
513,87506,b_cell,15841,18.102758667977053
513,87506,cd8_t_cell,18915,21.61566064041323
513,87506,cd4_t_cell,28149,32.16807990309236
513,87506,nk_cell,11363,12.985395287180307
514,95912,nk_cell,15855,16.53077821336225
514,95912,cd8_t_cell,28628,29.848194177996497
514,95912,b_cell,6158,6.42046876303278
514,95912,monocyte,9899,10.320919175911252
514,95912,cd4_t_cell,35372,36.87963966969722
515,100291,cd8_t_cell,23314,23.24635311244279
515,100291,cd4_t_cell,31016,30.926005324505688
515,100291,monocyte,18653,18.598877267152584
515,100291,nk_cell,20952,20.891206588826513
515,100291,b_cell,6356,6.33755770707242
516,104517,nk_cell,16353,15.646258503401361
516,104517,b_cell,7126,6.81802960283973
516,104517,cd4_t_cell,30109,28.807753762545808
516,104517,cd8_t_cell,30382,29.06895528957012
516,104517,monocyte,20547,19.659002841642987
517,100185,nk_cell,11357,11.33602834755702
517,100185,cd8_t_cell,25068,25.021709836801914
517,100185,cd4_t_cell,27380,27.329440535010228
517,100185,b_cell,17829,17.796077257074412
517,100185,monocyte,18551,18.51674402355642
518,97914,monocyte,14879,15.19598831627755
518,97914,nk_cell,20997,21.44432869661131
518,97914,cd8_t_cell,20239,20.67017995383704
518,97914,b_cell,11422,11.665338970933677
518,97914,cd4_t_cell,30377,31.02416406234042
519,104798,cd8_t_cell,36301,34.639019828622686
519,104798,monocyte,10476,9.996373976602607
519,104798,b_cell,12592,12.015496478940438
519,104798,cd4_t_cell,31243,29.81259184335579
519,104798,nk_cell,14186,13.536517872478482
520,108959,b_cell,7065,6.484090345909929
520,108959,monocyte,19600,17.98841766168926
520,108959,cd4_t_cell,34713,31.858772565827515
520,108959,cd8_t_cell,25089,23.026092383373562
520,108959,nk_cell,22492,20.642627043199735
521,95500,nk_cell,18832,19.71937172774869
521,95500,cd4_t_cell,25420,26.61780104712042
521,95500,cd8_t_cell,31377,32.85549738219895
521,95500,monocyte,11670,12.219895287958115
521,95500,b_cell,8201,8.587434554973822
522,91990,b_cell,9206,10.007609522774215
522,91990,cd8_t_cell,20979,22.805739754321124
522,91990,cd4_t_cell,27176,29.542341558865093
522,91990,monocyte,17945,19.507555169040113
522,91990,nk_cell,16684,18.13675399499946
523,97036,cd4_t_cell,24748,25.5039366832928
523,97036,b_cell,11753,12.111999670225483
523,97036,nk_cell,17742,18.283935858856506
523,97036,cd8_t_cell,19842,20.4480811245311
523,97036,monocyte,22951,23.652046663094108
524,100342,b_cell,8609,8.579657571106814
524,100342,cd8_t_cell,20392,20.322497060054616
524,100342,cd4_t_cell,37945,37.81567040720735
524,100342,nk_cell,16247,16.191624643718484
524,100342,monocyte,17149,17.09055031791274
525,108676,cd8_t_cell,31819,29.27877360226729
525,108676,cd4_t_cell,34520,31.76414295704663
525,108676,nk_cell,11267,10.367514446611947
525,108676,b_cell,6598,6.071257683389156
525,108676,monocyte,24472,22.51831131068497
526,95054,cd4_t_cell,27966,29.42117112378227
526,95054,b_cell,6404,6.737223052159826
526,95054,cd8_t_cell,18806,19.784543522629242
526,95054,nk_cell,15796,16.617922444084414
526,95054,monocyte,26082,27.439139857344248
527,104895,cd8_t_cell,29628,28.24538824538825
527,104895,b_cell,5987,5.707612374279041
527,104895,monocyte,17966,17.12760379427046
527,104895,cd4_t_cell,36045,34.36293436293436
527,104895,nk_cell,15269,14.55646122312789
528,91094,nk_cell,10016,10.995235690605309
528,91094,cd8_t_cell,21581,23.690912683601553
528,91094,monocyte,14799,16.24585592904033
528,91094,cd4_t_cell,33193,36.43818473225459
528,91094,b_cell,11505,12.629810964498212
529,93851,b_cell,8609,9.173050899830583
529,93851,nk_cell,14470,15.41805628070026
529,93851,cd8_t_cell,25246,26.900086307018572
529,93851,cd4_t_cell,27420,29.216524064740916
529,93851,monocyte,18106,19.29228244770967
530,101056,cd4_t_cell,30956,30.632520582647242
530,101056,monocyte,19542,19.337792906903104
530,101056,b_cell,8670,8.579401519949336
530,101056,nk_cell,12652,12.519791006966436
530,101056,cd8_t_cell,29236,28.930493983533882
531,93292,b_cell,12576,13.480255541739913
531,93292,nk_cell,14733,15.792350898254941
531,93292,cd8_t_cell,25197,27.008746730695023
531,93292,monocyte,19349,20.74025639926253
531,93292,cd4_t_cell,21437,22.978390430047593
532,90262,b_cell,8011,8.875274201768187
532,90262,cd8_t_cell,19554,21.663601515587956
532,90262,monocyte,23887,26.46407125922315
532,90262,cd4_t_cell,23206,25.70960093948727
532,90262,nk_cell,15604,17.287452083933438
533,98824,cd8_t_cell,18625,18.84663644458836
533,98824,nk_cell,11105,11.237148870719663
533,98824,b_cell,14148,14.316360398283818
533,98824,cd4_t_cell,32629,33.01728325103214
533,98824,monocyte,22317,22.582571035376024
534,96652,b_cell,5436,5.624301618176551
534,96652,cd4_t_cell,29217,30.229069238091295
534,96652,nk_cell,17314,17.913752431403385
534,96652,cd8_t_cell,23946,24.775483176757852
534,96652,monocyte,20739,21.457393535570915
535,104896,monocyte,15000,14.29987797437462
535,104896,nk_cell,17327,16.51826571079927
535,104896,cd8_t_cell,31103,29.651273642464922
535,104896,cd4_t_cell,34895,33.26628279438682
535,104896,b_cell,6571,6.264299877974374
536,95929,cd8_t_cell,23915,24.929896068967675
536,95929,monocyte,21373,22.28001959782756
536,95929,nk_cell,15928,16.603946668890536
536,95929,b_cell,9388,9.786404528349092
536,95929,cd4_t_cell,25325,26.399733135965143
537,97491,cd4_t_cell,23747,24.358145880132525
537,97491,nk_cell,9660,9.908606948333693
537,97491,monocyte,32326,33.15793252710507
537,97491,cd8_t_cell,23608,24.21556861659025
537,97491,b_cell,8150,8.359746027838467
538,101454,b_cell,13400,13.207956315177322
538,101454,cd4_t_cell,28996,28.580440396632955
538,101454,cd8_t_cell,18650,18.38271531925799
538,101454,nk_cell,16240,16.00725451928953
538,101454,monocyte,24168,23.821633449642203
539,112399,monocyte,20062,17.848913246559135
539,112399,cd8_t_cell,35181,31.300100534702267
539,112399,nk_cell,13118,11.670922339166719
539,112399,b_cell,4590,4.083666224788477
539,112399,cd4_t_cell,39448,35.09639765478341
540,88516,cd8_t_cell,18362,20.74427222197117
540,88516,monocyte,21536,24.330064621085455
540,88516,b_cell,9662,10.915540693208008
540,88516,cd4_t_cell,24754,27.965565547471645
540,88516,nk_cell,14202,16.044556916263726
541,86769,cd8_t_cell,18490,21.30945383719992
541,86769,b_cell,7841,9.0366375087877
541,86769,cd4_t_cell,25536,29.429865504961448
541,86769,monocyte,18493,21.312911293203793
541,86769,nk_cell,16409,18.911131855847135
542,104178,cd4_t_cell,31142,29.893067634241394
542,104178,monocyte,18711,17.960605886079595
542,104178,nk_cell,15510,14.887980187755574
542,104178,b_cell,10584,10.15953464263088
542,104178,cd8_t_cell,28231,27.09881164929256
543,97856,monocyte,23544,24.059843034663178
543,97856,nk_cell,10834,11.071370176586004
543,97856,b_cell,10105,10.326397972531067
543,97856,cd8_t_cell,26845,27.433167102681494
543,97856,cd4_t_cell,26528,27.10922171353826
544,97090,cd8_t_cell,26478,27.271603666701
544,97090,b_cell,8779,9.04212586260171
544,97090,monocyte,17356,17.876197342671748
544,97090,cd4_t_cell,28409,29.260479967040894
544,97090,nk_cell,16068,16.549593160984656
545,103635,cd8_t_cell,25319,24.430935494765283
545,103635,monocyte,20087,19.38244801466686
545,103635,nk_cell,10129,9.77372509287403
545,103635,b_cell,17635,17.016451970859265
545,103635,cd4_t_cell,30465,29.396439426834565
546,99083,nk_cell,14759,14.895592583995237
546,99083,cd4_t_cell,34150,34.46605371254403
546,99083,cd8_t_cell,24116,24.339190375745588
546,99083,b_cell,11523,11.62964383395739
546,99083,monocyte,14535,14.66951949375776
547,101173,monocyte,26251,25.946645844246984
547,101173,cd8_t_cell,19912,19.681140225158885
547,101173,cd4_t_cell,33570,33.18078934102972
547,101173,nk_cell,11931,11.792671957933441
547,101173,b_cell,9509,9.39875263163097
548,95779,cd4_t_cell,37574,39.229893818060326
548,95779,monocyte,16110,16.81997097484835
548,95779,b_cell,4887,5.10237108343165
548,95779,nk_cell,12983,13.555163449190324
548,95779,cd8_t_cell,24225,25.29260067446935
549,100015,cd8_t_cell,28292,28.287756836474532
